@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.348,0.392,0.408,0.44,0.026,0.035,0.037,0.037,98.9,99.8,100,100,7466,9515.3,9901,9901,0.188,0.222,0.23,0.23,0.115,0.136,0.155,0.159,0.372,0.572,0.687,0.82,0.169,0.285,0.429,0.491,1
0.193,0.208,0.212,0.212,0,0,0,0,96.5,96.5,96.5,96.5,9,18,30,48.5,0.001,0.001,0.002,0.003,0.014,0.024,0.028,0.031,0.373,0.573,0.687,0.819,0.046,0.062,0.076,0.102,0.516129
0.7,0.811,0.873,0.931,0.05,0.051,0.052,0.056,98.3,98.5,98.5,98.5,577.5,596.5,621.7,687.5,0.259,0.28,0.296,0.313,0.112,0.125,0.137,0.177,0.522,0.642,0.716,0.817,0.211,0.239,0.26,0.28,1
0.315,0.349,0.374,0.453,0.039,0.043,0.046,0.047,93.7,94,94.2,94.3,282.7,309.9,332.7,348.2,0.161,0.177,0.186,0.19,0.097,0.114,0.125,0.149,0.498,0.622,0.7,0.805,0.099,0.109,0.112,0.115,0.42623
0.341,0.375,0.41,0.434,0.044,0.048,0.049,0.05,94.5,94.8,94.9,94.9,331.3,345.3,345.7,345.7,0.184,0.191,0.192,0.192,0.163,0.167,0.17,0.176,0.54,0.667,0.74,0.831,0.105,0.117,0.119,0.12,0.42623
0.314,0.352,0.383,0.485,0.013,0.014,0.015,0.016,93.7,94,94.2,94.5,172.9,194.3,202.5,211.2,0.105,0.124,0.131,0.138,0.094,0.118,0.135,0.182,0.523,0.643,0.718,0.819,0.109,0.121,0.125,0.131,0.147541
0.751,0.832,0.875,0.918,0.052,0.053,0.054,0.056,98.2,98.4,98.4,98.4,549.5,568.2,592.9,653.7,0.269,0.29,0.308,0.324,0.118,0.129,0.14,0.183,0.522,0.642,0.716,0.816,0.208,0.237,0.258,0.278,0.557377
0.894,0.962,0.983,1,0.012,0.014,0.014,0.014,99.7,99.8,99.8,99.8,573.3,601.8,601.8,601.8,0.105,0.106,0.107,0.108,0.148,0.152,0.155,0.162,0.541,0.669,0.743,0.833,0.432,0.489,0.51,0.536,1
0.521,0.661,0.735,0.834,0.015,0.015,0.015,0.015,100,100,100,100,662,662,662,662,0.113,0.113,0.113,0.113,0.091,0.164,0.2,0.32,0.499,0.624,0.703,0.808,0.787,0.935,0.965,0.98,1
0.658,0.725,0.779,0.971,0.04,0.04,0.04,0.04,100,100,100,100,679,679,679,679,0.241,0.241,0.241,0.241,0.138,0.145,0.148,0.157,0.516,0.647,0.726,0.82,0.235,0.266,0.288,0.311,1
