@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.337,0.365,0.376,0.404,0.412,0.424,0.434,0.439,94.3,95.5,96.5,97,10303.8,10760.1,11199.9,11403.8,0.795,0.831,0.869,0.893,0.33,0.375,0.422,0.604,0.416,0.569,0.664,0.813,0.174,0.257,0.312,0.392,1
0.108,0.108,0.146,0.198,0,0,0,0,99.6,99.6,99.6,99.6,0,0,0,0,0,0,0,0,-0.003,-0.003,-0.001,0,0.148,0.148,0.247,0.496,0.007,0.007,0.012,0.024,0.577844
0.131,0.131,0.177,0.192,0.001,0.001,0.002,0.004,99.6,99.6,99.7,99.8,4771.9,4771.9,7948.7,12674.7,0.016,0.016,0.027,0.035,-0.006,-0.006,-0.001,0.002,0.148,0.148,0.247,0.496,0.01,0.01,0.017,0.038,0.764706
0.152,0.152,0.224,0.326,0.002,0.002,0.004,0.012,97.6,97.6,97.7,98.5,2487.4,2487.4,4112.4,10789.2,0.042,0.042,0.067,0.133,-0.024,-0.024,-0.007,0,0.148,0.148,0.247,0.496,0.012,0.012,0.021,0.045,1
0.144,0.144,0.199,0.238,0.02,0.02,0.033,0.094,89,89,90.3,96.5,4416.3,4416.3,7197.7,15829.1,0.139,0.139,0.223,0.43,-0.055,-0.055,-0.021,0,0.148,0.148,0.247,0.496,0.003,0.003,0.006,0.008,0.797385
0.159,0.159,0.221,0.254,0.02,0.02,0.033,0.094,89.4,89.4,90.7,96.9,4557.8,4557.8,7432.6,16418,0.146,0.146,0.233,0.449,-0.05,-0.05,-0.013,0,0.148,0.148,0.247,0.496,0.006,0.006,0.01,0.019,0.953044
0.145,0.145,0.188,0.205,0.018,0.018,0.03,0.09,89.4,89.4,90.6,96.6,4418.2,4418.2,7204.2,15942.5,0.138,0.138,0.221,0.426,-0.05,-0.05,-0.013,0,0.148,0.148,0.247,0.496,0.004,0.004,0.007,0.011,0.953044
0.133,0.133,0.184,0.209,0.016,0.016,0.027,0.077,91.1,91.1,92.1,97.2,4259.4,4259.4,6972.2,15478.8,0.121,0.121,0.195,0.37,-0.044,-0.044,-0.012,0,0.148,0.148,0.247,0.496,0.003,0.003,0.006,0.008,0.953044
0.133,0.133,0.185,0.212,0.005,0.005,0.008,0.019,96.5,96.5,96.8,97.9,2963.6,2963.6,4902.9,10698.1,0.045,0.045,0.072,0.141,-0.023,-0.023,-0.006,0,0.148,0.148,0.247,0.496,0.003,0.003,0.006,0.009,0.953044
0.129,0.129,0.17,0.184,0.018,0.018,0.031,0.089,89.6,89.6,90.9,96.8,4486.2,4486.2,7321.5,16004.1,0.138,0.138,0.222,0.418,-0.049,-0.049,-0.013,0,0.148,0.148,0.247,0.496,0.005,0.005,0.008,0.015,0.953044
0.114,0.114,0.174,0.215,0.014,0.014,0.024,0.072,92.1,92.1,93.1,97.9,4469.4,4469.4,7325.5,16305.2,0.134,0.134,0.216,0.39,-0.045,-0.045,-0.012,0,0.148,0.148,0.247,0.496,0.011,0.011,0.019,0.042,0.999594
0.187,0.187,0.261,0.271,0.001,0.001,0.002,0.005,99.3,99.3,99.4,99.7,3819,3819,6358.1,12853.4,0.025,0.025,0.04,0.059,-0.011,-0.011,-0.003,0,0.148,0.148,0.247,0.496,0.009,0.009,0.015,0.029,0.921875
0.352,0.391,0.419,0.501,0.003,0.006,0.009,0.009,98.5,98.8,99.1,99.1,2580.7,4752.8,6700.5,7044,0.037,0.058,0.08,0.084,0.049,0.09,0.136,0.234,0.344,0.486,0.572,0.696,0.15,0.184,0.205,0.267,0.249495
0.426,0.527,0.64,1,0.003,0.006,0.009,0.01,98.7,99,99.2,99.3,2955.4,5389.8,7524.2,8235.4,0.037,0.056,0.078,0.083,0.028,0.043,0.056,0.068,0.344,0.487,0.573,0.696,0.137,0.16,0.174,0.203,0.283995
0.386,0.427,0.463,0.503,0.027,0.051,0.072,0.077,92,94.4,96.4,96.7,4268.9,6920.5,9662.6,10439.1,0.166,0.247,0.336,0.369,0.08,0.09,0.099,0.119,0.371,0.522,0.61,0.727,0.108,0.131,0.15,0.166,0.843906
0.379,0.41,0.431,0.452,0.046,0.061,0.071,0.081,90.5,92.4,93.9,96.2,5380,7191.7,8493.4,9305,0.222,0.306,0.356,0.391,0.18,0.219,0.258,0.344,0.372,0.519,0.605,0.718,0.109,0.145,0.172,0.242,0.92231
0.351,0.389,0.422,0.459,0.137,0.194,0.229,0.247,76.1,82.4,86.1,87,7084.1,9599.7,10894.1,12256.4,0.316,0.428,0.495,0.562,0.129,0.151,0.163,0.175,0.387,0.538,0.624,0.735,0.062,0.087,0.099,0.103,0.997498
0.355,0.378,0.398,0.426,0.016,0.026,0.034,0.067,86.6,87.9,89,92.6,2853.6,3991.9,4882.3,6392.5,0.138,0.188,0.22,0.235,0.194,0.216,0.224,0.229,0.351,0.494,0.578,0.697,0.094,0.134,0.143,0.154,0.974344
0.342,0.384,0.434,0.498,0.125,0.177,0.21,0.226,75.9,81.7,85.3,86.2,6656.7,8905.7,10137.7,11508.1,0.291,0.386,0.449,0.514,0.131,0.152,0.166,0.177,0.387,0.538,0.624,0.735,0.061,0.085,0.097,0.103,0.969064
0.364,0.409,0.438,0.496,0.123,0.175,0.209,0.225,75.7,81.5,85.3,86.3,6702,9022.3,10171.9,11349.1,0.294,0.393,0.449,0.508,0.135,0.155,0.165,0.177,0.387,0.538,0.624,0.735,0.06,0.085,0.097,0.103,0.990217
0.366,0.415,0.45,0.568,0.067,0.092,0.106,0.132,76.3,79.1,81.1,84.5,4972.9,6432.3,7267.1,7932.3,0.214,0.271,0.303,0.353,0.164,0.194,0.207,0.216,0.387,0.538,0.624,0.735,0.06,0.087,0.099,0.103,0.94916
0.375,0.421,0.457,0.523,0.086,0.123,0.15,0.173,81.6,85.5,87.8,90.8,6493.9,9183,11359.4,13222.6,0.262,0.366,0.454,0.534,0.099,0.131,0.163,0.194,0.387,0.538,0.624,0.735,0.073,0.09,0.098,0.103,0.933991
0.362,0.406,0.435,0.52,0.08,0.121,0.147,0.168,76.5,81,84.2,85.6,5374.2,7612.1,9336.2,10715,0.23,0.318,0.397,0.462,0.122,0.144,0.159,0.202,0.387,0.538,0.624,0.735,0.059,0.084,0.096,0.103,0.904085
0.362,0.393,0.404,0.423,0.128,0.185,0.22,0.239,75.8,82.1,85.9,86.9,6858.2,9369.6,10765.4,12185.5,0.305,0.415,0.487,0.556,0.128,0.149,0.16,0.177,0.387,0.538,0.624,0.735,0.061,0.086,0.098,0.103,0.991586
0.369,0.398,0.409,0.431,0.136,0.192,0.227,0.245,76,82.2,86,86.9,7045.4,9551.3,10844.4,12205.2,0.314,0.425,0.493,0.56,0.127,0.149,0.161,0.173,0.387,0.538,0.624,0.735,0.062,0.087,0.099,0.103,0.972256
0.361,0.402,0.438,0.503,0.026,0.046,0.059,0.073,93.2,95.2,96.4,97.8,5094.2,7631.7,9264.7,10899.3,0.183,0.262,0.313,0.356,0.074,0.103,0.12,0.173,0.349,0.493,0.579,0.7,0.119,0.147,0.16,0.191,0.864232
0.362,0.387,0.404,0.439,0,0,0,0.001,98.9,98.9,98.9,99,977.7,1487.5,1746.8,1821,0.021,0.029,0.035,0.038,0.035,0.047,0.052,0.06,0.342,0.485,0.572,0.695,0.162,0.184,0.196,0.227,0.764815
0.355,0.406,0.444,0.511,0,0,0,0.001,99.9,99.9,99.9,99.9,1860.3,3048.6,4028.3,5606.3,0.005,0.006,0.007,0.009,0.122,0.172,0.196,0.276,0.34,0.484,0.571,0.696,0.375,0.517,0.561,0.623,0.433333
0.392,0.422,0.437,0.452,0.034,0.04,0.043,0.051,96.7,97.3,97.6,98.3,14496.2,16629.6,17655.8,19527,0.209,0.233,0.246,0.268,0.115,0.177,0.192,0.204,0.363,0.517,0.613,0.75,0.156,0.161,0.165,0.17,0.856408
0.369,0.43,0.45,0.515,0.259,0.379,0.418,0.437,82,94.2,97.9,99.8,13966.6,20505.7,23383.3,25120.5,0.522,0.773,0.896,0.982,-0.01,0.021,0.032,0.063,0.249,0.385,0.516,0.677,0.046,0.068,0.086,0.113,1
0.404,0.461,0.513,0.642,0.31,0.428,0.47,0.491,81.6,93.6,97.7,99.8,12319,17985.4,20637,22360.3,0.521,0.768,0.895,0.993,-0.025,0.007,0.018,0.022,0.243,0.377,0.508,0.667,0.048,0.072,0.093,0.127,1
0.401,0.416,0.423,0.426,0.313,0.428,0.47,0.491,82,93.7,97.7,99.8,12467.3,17936.7,20667.1,22382.4,0.525,0.764,0.897,0.994,-0.027,0.005,0.015,0.024,0.22,0.345,0.47,0.616,0.039,0.062,0.083,0.127,1
0.352,0.408,0.432,0.468,0.29,0.401,0.445,0.468,81.9,93.2,97.5,99.8,11316.7,16494.8,19098.4,20825.1,0.512,0.754,0.886,0.99,-0.025,0.008,0.014,0.024,0.238,0.369,0.499,0.657,0.049,0.075,0.097,0.136,1
0.389,0.463,0.509,0.557,0.26,0.38,0.419,0.437,82,94.2,98,99.8,13962.7,20500.2,23386,25099.3,0.522,0.773,0.897,0.983,-0.019,0.02,0.033,0.068,0.241,0.374,0.505,0.666,0.046,0.068,0.086,0.113,0.999656
0.361,0.419,0.467,0.531,0.327,0.466,0.496,0.497,82.8,96.9,99.8,99.9,13670.1,20075.6,21977.1,21994.2,0.604,0.899,0.991,0.993,-0.019,0.021,0.041,0.065,0.232,0.358,0.494,0.686,0.033,0.053,0.066,0.079,1
0.383,0.432,0.447,0.448,0.259,0.379,0.418,0.437,82,94.2,97.9,99.8,13966.6,20505.7,23383.3,25120.5,0.522,0.773,0.896,0.982,-0.01,0.021,0.032,0.063,0.249,0.385,0.516,0.677,0.046,0.068,0.086,0.113,1
0.385,0.433,0.466,0.486,0.277,0.397,0.437,0.457,81.7,93.9,97.8,99.8,13262.1,19452.1,22300,24020.2,0.521,0.77,0.898,0.988,-0.024,0.005,0.014,0.019,0.248,0.383,0.514,0.674,0.047,0.069,0.088,0.118,1
0.32,0.42,0.498,0.565,0.109,0.17,0.199,0.201,90.8,96.7,99.9,100,8190.7,12067.9,13805.7,13867,0.431,0.636,0.719,0.723,-0.037,0.039,0.075,0.124,0.203,0.317,0.448,0.65,0.036,0.057,0.085,0.135,1
0.36,0.501,0.541,0.663,0.12,0.191,0.199,0.2,91.9,99.1,99.9,100,8576.8,13181.6,13804.8,13861,0.447,0.685,0.719,0.723,0.008,0.122,0.15,0.169,0.16,0.253,0.375,0.588,0.068,0.106,0.15,0.203,0.798422
0.351,0.484,0.519,0.572,0.167,0.247,0.279,0.28,88.5,96.4,99.8,100,9377.7,13634.3,15336.8,15400,0.517,0.759,0.851,0.856,-0.028,0.029,0.059,0.108,0.204,0.318,0.448,0.647,0.027,0.043,0.06,0.072,0.99683
0.373,0.481,0.588,0.811,0,0.001,0.001,0.001,99.8,99.9,99.9,99.9,3453.4,5525.4,7878.4,8915.9,0.009,0.015,0.018,0.019,0.024,0.04,0.061,0.118,0.211,0.331,0.466,0.653,0.075,0.121,0.159,0.201,0.999416
0.424,0.561,0.642,0.892,0.114,0.17,0.222,0.222,89.6,95.5,100,100,7579.1,11214.7,14233.6,14249,0.399,0.596,0.762,0.764,-0.01,0.014,0.025,0.073,0.242,0.386,0.528,0.737,0.113,0.18,0.296,0.666,0.999702
0.263,0.385,0.462,0.696,0.047,0.074,0.09,0.09,95.6,98.3,99.9,100,7107.8,10654,12158.4,12187,0.266,0.394,0.436,0.438,-0.021,0.023,0.038,0.049,0.201,0.317,0.457,0.663,0.06,0.096,0.153,0.34,1
0.361,0.446,0.495,0.528,0.001,0.002,0.003,0.006,99.3,99.4,99.5,99.7,552.5,1105.1,1841.8,2728.1,0.01,0.02,0.034,0.044,0.023,0.044,0.067,0.161,0.67,0.814,0.875,0.937,0.125,0.149,0.17,0.199,0.627907
0.526,0.579,0.634,0.861,0.003,0.003,0.003,0.003,98.4,98.5,98.5,98.5,7294.1,7486.7,7636.2,7972.8,0.07,0.071,0.072,0.074,0.542,0.55,0.556,0.56,0.559,0.629,0.668,0.714,0.126,0.18,0.224,0.25,0.897597
