* Report for MADneSs activity on Fri Jun 22 14:25:17 CEST 2018
dataset,runs,algorithm,window_size,window_policy,setup,metric_score,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC
unsw_u2r,0-2,[HBOS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[HBOS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_KMEANS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_LOF],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[HBOS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_KMEANS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_LOF],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[HBOS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_KMEANS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_LOF],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[HBOS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_KMEANS],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[ELKI_LOF],,,null,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nslkdd_u2r,0-2,[HBOS],,,BEST 10 -  1,0.036297700432031385,0.3333333333333333,43.333333333333336,56.333333333333336,0.0,0.5648484848484848,0.007246376811594203,0.3333333333333333,0.014184397163120565,0.03333333333333333,0.4366666666666667,0.036297700432031385,0.0
nslkdd_u2r,0-2,[ELKI_KMEANS],,,BEST 3 - ALL,0.00987898276609749,0.3333333333333333,5.0,94.66666666666667,0.0,0.9497306397306398,0.0036231884057971015,0.3333333333333333,0.007168458781362006,0.017361111111111112,0.05333333333333334,0.00987898276609749,0.0
nslkdd_u2r,0-2,[ELKI_LOF],,,BEST 30 -  1,0.01985783794039676,0.3333333333333333,23.0,76.66666666666667,0.0,0.7691245791245791,0.0045045045045045045,0.3333333333333333,0.008888888888888889,0.02136752136752137,0.2333333333333333,0.01985783794039676,0.0
nslkdd_probe,0-2,[HBOS],,,FILTERED 10 -  HALF,0.6339448640666943,3.6666666666666665,91.66666666666667,4.333333333333333,0.3333333333333333,0.045069557484777235,0.4636243386243386,0.9333333333333332,0.6091686091686092,0.7635802469135804,0.9533333333333333,0.6339448640666943,0.17545664071357747
nslkdd_probe,0-2,[ELKI_KMEANS],,,BEST 10 -  HALF,0.5771271633025644,2.0,94.66666666666667,1.3333333333333333,2.0,0.013925438596491228,0.6888888888888888,0.5222222222222223,0.5814814814814815,0.5417529330572809,0.9666666666666667,0.5771271633025644,0.4456342815713709
nslkdd_probe,0-2,[ELKI_LOF],,,FILTERED 10 -  HALF,0.6424619711447294,1.6666666666666667,96.0,0.0,2.3333333333333335,0.0,1.0,0.4388888888888889,0.5904761904761905,0.4876496052966641,0.9766666666666666,0.6424619711447294,0.21460723870377585
nslkdd_dos,0-2,[HBOS],,,BEST 3 -  HALF,0.6882132926021963,26.333333333333332,58.666666666666664,13.333333333333334,1.6666666666666667,0.18405738405738406,0.6582846003898636,0.935849657588788,0.770906046183677,0.8612513612513611,0.85,0.6882132926021963,0.21255338801535095
nslkdd_dos,0-2,[ELKI_KMEANS],,,BEST 3 -  HALF,0.6967935602142846,24.666666666666668,62.0,10.0,3.3333333333333335,0.13784323784323785,0.7065608003108003,0.8799649625736582,0.7817423334664714,0.8371700076678715,0.8666666666666667,0.6967935602142846,0.48199179815978277
nslkdd_dos,0-2,[ELKI_LOF],,,0.9 - ALL,0.8827400079665259,24.333333333333332,71.0,1.0,3.6666666666666665,0.014585414585414588,0.963924963924964,0.8671444497531454,0.9125074272133095,0.884641794151232,0.9533333333333333,0.8827400079665259,0.0
nslkdd_r2l,0-2,[HBOS],,,BEST 3 -  HALF,0.15905497791502896,3.6666666666666665,73.66666666666667,18.333333333333332,4.333333333333333,0.19966252098537018,0.16321154898741105,0.43611111111111106,0.23528015194681862,0.3231682769726248,0.7733333333333333,0.15905497791502896,0.21211868087104582
nslkdd_r2l,0-2,[ELKI_KMEANS],,,BEST 10 -  1,0.20848387158562398,6.333333333333333,55.666666666666664,36.333333333333336,1.6666666666666667,0.39498406824956317,0.14594928880643165,0.7638888888888888,0.24384706346078044,0.4096832427420071,0.62,0.20848387158562398,0.4095000570570768
nslkdd_r2l,0-2,[ELKI_LOF],,,BEST 10 -  1,0.1641612153907952,6.0,52.0,40.0,2.0,0.4349196560112379,0.12856455713598572,0.7305555555555555,0.21792133034857689,0.3748036497540794,0.58,0.1641612153907952,0.2321848738472775
nslkdd_u2r,0-2,[HBOS],,,BEST 10 -  HALF,0.09072184232530289,0.3333333333333333,85.33333333333333,14.333333333333334,0.0,0.1437037037037037,0.027777777777777776,0.3333333333333333,0.05128205128205129,0.10416666666666667,0.8566666666666666,0.09072184232530289,0.0
nslkdd_u2r,0-2,[ELKI_KMEANS],,,BEST 3 - ALL,0.23450882356048283,0.3333333333333333,98.66666666666667,1.0,0.0,0.010033670033670034,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.9899999999999999,0.23450882356048283,0.0
nslkdd_u2r,0-2,[ELKI_LOF],,,BEST 10 -  1,0.044668347344853865,0.3333333333333333,63.666666666666664,36.0,0.0,0.3611784511784512,0.009259259259259259,0.3333333333333333,0.018018018018018018,0.041666666666666664,0.64,0.044668347344853865,0.0
nslkdd_probe,0-2,[HBOS],,,FILTERED 10 -  HALF,0.6339448640666943,3.6666666666666665,91.66666666666667,4.333333333333333,0.3333333333333333,0.045069557484777235,0.4636243386243386,0.9333333333333332,0.6091686091686092,0.7635802469135804,0.9533333333333333,0.6339448640666943,0.17545664071357747
nslkdd_probe,0-2,[ELKI_KMEANS],,,BEST 3 -  HALF,0.5923339373040313,4.0,89.33333333333333,6.666666666666667,0.0,0.06948476216313981,0.3790792540792541,1.0,0.5470142602495544,0.7487022617723396,0.9333333333333332,0.5923339373040313,0.2228650821329331
nslkdd_probe,0-2,[ELKI_LOF],,,FILTERED 10 -  HALF,0.5484215615732727,1.6666666666666667,95.33333333333333,0.6666666666666666,2.3333333333333335,0.006980994152046783,0.7222222222222222,0.4388888888888889,0.5444444444444444,0.4756153669197147,0.9700000000000001,0.5484215615732727,0.23013211587522217
nslkdd_dos,0-2,[HBOS],,,BEST 3 -  HALF,0.6882132926021963,26.333333333333332,58.666666666666664,13.333333333333334,1.6666666666666667,0.18405738405738406,0.6582846003898636,0.935849657588788,0.770906046183677,0.8612513612513611,0.85,0.6882132926021963,0.21255338801535095
nslkdd_dos,0-2,[ELKI_KMEANS],,,BEST 3 - ALL,0.8324171924016209,24.333333333333332,69.0,3.0,3.6666666666666665,0.04268434268434269,0.8916017316017316,0.8671444497531454,0.8791160908807968,0.8718734821549998,0.9333333333333332,0.8324171924016209,0.6862390412710649
nslkdd_dos,0-2,[ELKI_LOF],,,0.9 - ALL,0.8827400079665259,24.333333333333332,71.0,1.0,3.6666666666666665,0.014585414585414588,0.963924963924964,0.8671444497531454,0.9125074272133095,0.884641794151232,0.9533333333333333,0.8827400079665259,0.0
nslkdd_r2l,0-2,[HBOS],,,BEST 10 -  1,0.11085881747209558,7.333333333333333,24.666666666666668,67.33333333333333,0.6666666666666666,0.731735019015315,0.09864467459404169,0.9027777777777778,0.1771851163787714,0.34000979032389655,0.32,0.11085881747209558,0.25280372359190817
