* Report for MADneSs activity on Wed Sep 04 13:00:38 CEST 2019
dataset,runs,algorithm,window_size,window_policy,setup,metric_score,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,Area Under ROC Curve,Custom,OVERLAP,OVERLAP_DETAIL
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07139199815571488,0.03357142857142858,0.6985714285714285,0.195,0.07285714285714284,0.21804109290057697,0.14398409252871397,0.31556621296323817,0.15831069558720748,0.1887640671313657,0.2420235948993808,0.732142857142857,0.06847215224902357,0.5487625600313307,0.29617668329125413,60.642857142857146,1.4285714285714286
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.2188720730074291,0.014285714285714287,0.8792857142857142,0.014285714285714287,0.09214285714285717,0.01592614488387966,0.39285714285714285,0.15992822966507178,0.2857406946652804,0.21665943705417387,0.17804680654059535,0.8935714285714287,0.21112216815227772,0.5720010423905961,0.33851116962268085,97.92857142857143,9.0
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.07714292344048479,0.012142857142857144,0.845,0.048571428571428585,0.0942857142857143,0.05473804286960699,0.20232426303854875,0.1268939393939394,0.1780098278158209,0.15315371762740182,0.13588130396090248,0.8571428571428571,0.08706318674656313,0.5360779482621661,0.24718502121699287,66.0,6.428571428571429
wesad_eda,21-45,[HBOS],,,BEST 1 - 1,0.03351133558952774,0.017142857142857144,0.7821428571428571,0.11142857142857143,0.0892857142857143,0.12499685455808887,0.13219003219003217,0.15815514576956224,0.13436099887768121,0.13936588456039256,0.14792966634299098,0.7992857142857144,0.03228145376040363,0.5165791456057367,0.2354205492992038,77.0,1.1428571428571428
